CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;16;5.3;28.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;17;8.5;26.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;18;6.5;25.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;19;7.2;26.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;20;7.5;26.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;21;7.5;27.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;22;7.1;26.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;23;6.6;25.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;24;7.5;27.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;25;6.6;26.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;26;6.2;24.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;27;6.3;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;28;7.2;27.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;29;6.3;26.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;30;6.5;25.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;31;6.3;25.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;01;16.9;21.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;02;17.8;21.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;03;16.6;21.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;04;16.5;22.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;05;16.9;23.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;06;17.6;23.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;07;18.0;22.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;08;17.8;22.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;09;18.2;22.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;10;18.5;22.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;11;17.2;22.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;12;17.0;22.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;13;16.6;22.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;14;18.3;23.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;15;17.3;22.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;16;18.5;23.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;17;19.3;24.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;18;19.1;23.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;19;17.3;23.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;20;17.3;23.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;21;17.5;24.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;22;18.1;23.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;23;18.0;25.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;24;17.8;24.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;25;19.3;25.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;26;18.1;24.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;27;18.6;24.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;28;17.5;24.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;29;19.6;26.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;30;18.3;25.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2016;01;31;18.4;26.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;01;22.2;27.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;02;23.2;27.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;03;23.0;26.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;04;22.2;25.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;05;21.1;25.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;06;19.4;27.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;07;20.1;26.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;08;18.2;27.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;09;18.9;27.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;10;22.0;26.6
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;11;22.1;26.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;12;20.5;25.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;13;20.2;26.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;14;20.4;26.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 38'' S;48;2016;01;15;19.0;27.1
